ori,des,path,len
134,392,134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1804
206,240,206_196_195_180_315_184_183_177_189_190_211_202_235_245_239_240,1347
390,50,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50,1667
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1516
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
324,208,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208,1249
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
324,208,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208,1249
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1612
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,1337
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
367,22,367_400_286_235_246_34_33_31_357_40_50_20_23_73_22,1234
319,51,319_317_305_274_308_386_397_385_91_85_314_347_83_78_49_364_48_44_51,1111
324,36,324_326_280_397_385_91_85_314_347_83_78_49_364_46_43_38_36,950
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356_35_338_361_353_51,1805
283,195,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195,1034
324,392,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,2098
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1612
345,32,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_32,1450
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
324,240,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_70_56_9_11_421_240,1319
324,415,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162_415,2020
395,325,395_7_340_27_72_409_365_362_358_380_377_42_47_355_20_23_73_22_329_89_281_325,936
55,418,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418,1473
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,1100
236,391,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,1206
326,227,326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227,1600
324,8,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,1119
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,1283
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1057
390,51,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356_35_338_361_353_51,1788
15,392,15_34_33_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1608
30,391,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,1286
345,238,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_238,1441
351,392,351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1588
324,400,324_326_280_397_385_91_85_314_347_83_78_49_364_46_43_38_36_249_13_16_238_400,1516
238,162,238_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,1483
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
324,392,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,2098
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
235,325,235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,950
55,174,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174,1671
404,198,404_55_132_134_52_360_0_366_351_248_30_236_376_231_198,873
345,81,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_81,2011
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,2160
248,392,248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1481
324,154,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154,1970
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356_35_338_361_353_51,1805
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,1582
55,179,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,1378
15,325,15_34_33_31_357_40_50_20_23_73_22_329_89_281_325,877
83,4,83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,1494
395,313,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313,647
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1612
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,1283
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,1283
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,1073
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
390,32,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_32,1434
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
324,154,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154,1970
324,179,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,1557
94,4,94_310_237_233_234_200_208_145_146_148_227_151_152_154_4,1372
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
385,325,385_90_89_281_325,259
93,8,93_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,561
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
397,4,397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,1965
52,260,52_360_0_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,1171
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1612
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
