u,v,,,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,ref,access
95663418,95663527,9566341895663527,9566341895663527,0,82682796,FALSE,4,Μάρνη,secondary,FALSE,46.646,"LINESTRING (23.7257031 37.9865686, 23.7261306 37.9868185)",,,,
95663419,98303817,9566341998303817,#N/A,0,1098831917,TRUE,1,Φαβιέρου,residential,FALSE,99.756,"LINESTRING (23.7234789 37.9868837, 23.7245984 37.9867215)",,8.9,,
95663419,7248584892,956634197248584892,#N/A,0,634244587,TRUE,,Ακομινάτου,residential,FALSE,73.36099999999999,"LINESTRING (23.7234789 37.9868837, 23.7234946 37.9869378, 23.7236234 37.9873324, 23.7236788 37.9875243)",30,6.2,,
95663420,250714052,95663420250714052,#N/A,0,32295798,TRUE,2,Χαλκοκονδύλη,primary,FALSE,121.449,"LINESTRING (23.7285143 37.9861564, 23.7286514 37.9861361, 23.7296827 37.9859819, 23.72973 37.9859744, 23.7298764 37.9859556)",,,,
95663420,962356679,95663420962356679,#N/A,0,741733384,TRUE,3,3ης Σεπτεμβρίου,primary,FALSE,58.782,"LINESTRING (23.7285143 37.9861564, 23.7286306 37.98662, 23.7286384 37.9866513, 23.7286444 37.986675)",,,,
95663422,95663385,9566342295663385,#N/A,0,32357772,TRUE,,Βερανζέρου,residential,FALSE,105.895,"LINESTRING (23.7283706 37.9855836, 23.7282655 37.9855997, 23.7279111 37.9856541, 23.7272515 37.9857554, 23.7272144 37.9857611, 23.7271846 37.9857657)",,6,,
95663422,95663420,9566342295663420,#N/A,0,762514801,TRUE,3,3ης Σεπτεμβρίου,primary,FALSE,64.926,"LINESTRING (23.7283706 37.9855836, 23.7284088 37.9857358, 23.7284707 37.9859824, 23.7284855 37.9860414, 23.7284942 37.9860763, 23.7285143 37.9861564)",,,,
95663423,95663422,9566342395663422,#N/A,0,762514801,TRUE,3,3ης Σεπτεμβρίου,primary,FALSE,61.999,"LINESTRING (23.7282335 37.9850366, 23.7283465 37.9854872, 23.7283646 37.9855595, 23.7283706 37.9855836)",,,,
95663426,688786344,95663426688786344,#N/A,0,222897513,TRUE,1,Καποδιστρίου,primary,FALSE,50.206,"LINESTRING (23.7274563 37.9868729, 23.7270688 37.9869404, 23.7270516 37.9869443, 23.7270409 37.9869489, 23.7270294 37.9869556, 23.7270176 37.9869644, 23.7269458 37.9870356)",,,,
95663426,300398465,95663426300398465,#N/A,0,222941080,TRUE,1,Αριστοτέλους,tertiary,FALSE,61.510999999999996,"LINESTRING (23.7274563 37.9868729, 23.727361 37.9864845, 23.7273525 37.9864498, 23.7273229 37.9863298)",,,,
95663433,95663454,9566343395663454,#N/A,0,10741757,TRUE,,Σολωμού,residential,FALSE,106.67099999999999,"LINESTRING (23.7275882 37.9874107, 23.7286924 37.9872392, 23.7287824 37.9872252)",,5,,
95663433,95663426,9566343395663426,#N/A,0,222941080,TRUE,1,Αριστοτέλους,tertiary,FALSE,60.907,"LINESTRING (23.7275882 37.9874107, 23.7274722 37.9869378, 23.7274659 37.986912, 23.7274563 37.9868729)",,,,
95663454,97788192,9566345497788192,#N/A,0,10741757,TRUE,,Σολωμού,residential,FALSE,119.38799999999999,"LINESTRING (23.7287824 37.9872252, 23.728889 37.9872087, 23.7300012 37.9870359, 23.730119 37.9870177)",,5,,
95663454,95663467,9566345495663467,#N/A,0,260824573,TRUE,3,3ης Σεπτεμβρίου,primary,FALSE,59.11,"LINESTRING (23.7287824 37.9872252, 23.728893 37.9876663, 23.7289012 37.987699, 23.7289132 37.9877467)",,,,
95663461,3879024939,956634613879024939,956634613879024939,0,82682785,FALSE,4,Μάρνη,primary,TRUE,45.414,"LINESTRING (23.7276613 37.9877086, 23.7272465 37.9874638)",,,,
95663461,95663464,9566346195663464,9566346195663464,0,82682785,FALSE,4,Μάρνη,primary,FALSE,34.158,"LINESTRING (23.7276613 37.9877086, 23.7278468 37.9878195, 23.7279778 37.9878876)",,,,
95663461,95663433,9566346195663433,#N/A,0,222941080,TRUE,1,Αριστοτέλους,tertiary,FALSE,33.739000000000004,"LINESTRING (23.7276613 37.9877086, 23.7276056 37.9874814, 23.7275991 37.9874548, 23.7275882 37.9874107)",,,,
95663463,95663472,9566346395663472,#N/A,0,10741751,TRUE,2,Στουρνάρη,secondary,FALSE,92.686,"LINESTRING (23.7277151 37.9879272, 23.7276156 37.9879422, 23.7270286 37.9880306, 23.7267657 37.9880702, 23.7266763 37.9880837)",,,,
95663463,95663461,9566346395663461,#N/A,0,222941078,TRUE,2,Αριστοτέλους,tertiary,FALSE,24.759999999999998,"LINESTRING (23.7277151 37.9879272, 23.7277083 37.9878997, 23.7276613 37.9877086)",,,,
