Iteration,Elapsed Time,Discriminator Loss,Value Loss,Policy Loss,Edit Distance,Best Edit Distance
10,365.02236795425415,1.3574843406677246,493.46074092388153,-1.4038600400090218,1.0,1.0
20,754.1367962360382,1.355144739151001,105.14219751954079,-1.9557650201022625,0.9997234530175707,0.9997234530175707
30,1129.7710211277008,1.3656389713287354,72.96606181561947,-2.076231302693486,0.9898943034549386,0.9898943034549386
40,1494.1291844844818,1.3918688297271729,64.5576710999012,-2.606344299390912,0.9880838760383579,0.9880838760383579
50,1858.3694953918457,1.4054458141326904,21.180149987339973,-3.0582921113818884,0.8720102150320235,0.8720102150320235
60,2219.3712413311005,1.4040206670761108,51.12671580910683,-2.2082992792129517,0.9969872136185031,0.8720102150320235
70,2586.4750554561615,1.3937187194824219,72.97281476855278,-2.2463716212660074,0.9814283311104973,0.8720102150320235
80,2953.331444978714,1.378930687904358,48.55401086807251,-2.422301414422691,0.9781692844794215,0.8720102150320235
90,3319.4047405719757,1.3723819255828857,27.40193709731102,-2.870178736746311,0.8487253081614636,0.8487253081614636
100,3682.873948574066,1.3660082817077637,30.9778254032135,-2.3125071842223406,0.7217112746572488,0.7217112746572488
110,4045.4631106853485,1.3602724075317383,32.5834256708622,-2.5316420197486877,0.8515819629447993,0.7217112746572488
120,4410.984966516495,1.364309310913086,37.810573279857635,-2.6618781881406903,0.8179957405535,0.7217112746572488
130,4775.062443494797,1.3713867664337158,37.841122061014175,-2.7794349901378155,0.8102594152306167,0.7217112746572488
140,5139.792984008789,1.372098445892334,26.64505760371685,-2.5488525051623583,0.5273028449558825,0.5273028449558825
150,5500.617529153824,1.3702762126922607,34.989503517746925,-1.9722606278955936,0.5952057763823072,0.5273028449558825
160,5864.033966064453,1.3147659301757812,100.36121964454651,-3.672840926796198,0.6160270211224017,0.5273028449558825
170,6227.6394135952,1.376082181930542,67.43320229649544,-2.0648284340277314,0.5000540631072125,0.5000540631072125
180,6588.094366550446,1.3530155420303345,35.775897458195686,-2.427124470472336,0.6468115856355278,0.5000540631072125
190,6952.130001783371,1.3622686862945557,38.52165850996971,-2.409813029691577,0.45816340177816894,0.45816340177816894
200,7312.316300392151,1.351147174835205,32.49414610862732,-2.3043631482869387,0.4875022801193726,0.45816340177816894
210,7674.823351383209,1.3622162342071533,35.52430446445942,-2.272575981914997,0.4453879726180131,0.4453879726180131
220,8037.909309148788,1.360208511352539,38.66040097177029,-2.2227540388703346,0.40598349690433644,0.40598349690433644
230,8399.658405065536,1.3612385988235474,37.35597266256809,-2.528694565407932,0.43183161602054676,0.40598349690433644
240,8762.27488565445,1.3539049625396729,52.866463758051395,-2.4400544418022037,0.35359082398977104,0.35359082398977104
250,9124.694767475128,1.3735662698745728,42.44443618506193,-2.7462897170335054,0.405461139258364,0.35359082398977104
260,9487.704916000366,1.3637340068817139,33.8014230132103,-2.5987919624894857,0.30534441591062145,0.30534441591062145
270,9850.598057746887,1.3525722026824951,38.811961345374584,-2.133415348827839,0.47948159361433124,0.30534441591062145
280,10212.841393232346,1.3667585849761963,29.49023862928152,-2.058716570958495,0.3959847222612375,0.30534441591062145
290,10574.036912679672,1.3607364892959595,34.10304421931505,-2.6658078054897487,0.43300844738350097,0.30534441591062145
300,10936.35580420494,1.3495421409606934,50.63615658134222,-2.499545539729297,0.42340371532026466,0.30534441591062145
