(1.0, 128.0)
(2.0, 184.0)
(3.0, 9.0)
(4.0, 5.0)
(5.0, 4.0)
(6.0, 13.0)
(7.0, 379.0)
(8.0, 10.0)
(9.0, 3.0)
(10.0, 8.0)
(11.0, 63.0)
(12.0, 15.0)
(13.0, 6.0)
(14.0, 19.0)
(15.0, 12.0)
(16.0, 385.0)
(17.0, 418.0)
(18.0, 22.0)
(19.0, 14.0)
(20.0, 414.0)
(21.0, 80.0)
(22.0, 18.0)
(23.0, 354.0)
(24.0, 30.0)
(25.0, 397.0)
(26.0, 383.0)
(27.0, 44.0)
(28.0, 339.0)
(29.0, 31.0)
(30.0, 24.0)
(31.0, 29.0)
(32.0, 43.0)
(33.0, 39.0)
(34.0, 36.0)
(35.0, 45.0)
(36.0, 34.0)
(37.0, 90.0)
(38.0, 79.0)
(39.0, 33.0)
(40.0, 89.0)
(41.0, 403.0)
(42.0, 74.0)
(43.0, 32.0)
(44.0, 27.0)
(45.0, 35.0)
(46.0, 402.0)
(47.0, 67.0)
(48.0, 284.0)
(49.0, 209.0)
(50.0, 56.0)
(51.0, 193.0)
(52.0, 286.0)
(53.0, 289.0)
(54.0, 265.0)
(55.0, 69.0)
(56.0, 50.0)
(57.0, 75.0)
(58.0, 62.0)
(59.0, 396.0)
(60.0, 280.0)
(61.0, 279.0)
(62.0, 58.0)
(63.0, 11.0)
(65.0, 287.0)
(66.0, 70.0)
(67.0, 47.0)
(68.0, 300.0)
(69.0, 55.0)
(70.0, 66.0)
(71.0, 351.0)
(73.0, 84.0)
(74.0, 42.0)
(75.0, 57.0)
(77.0, 322.0)
(79.0, 38.0)
(80.0, 21.0)
(81.0, 85.0)
(82.0, 118.0)
(83.0, 87.0)
(84.0, 73.0)
(85.0, 81.0)
(86.0, 421.0)
(87.0, 83.0)
(88.0, 93.0)
(89.0, 40.0)
(90.0, 37.0)
(91.0, 423.0)
(92.0, 95.0)
(93.0, 88.0)
(94.0, 409.0)
(95.0, 92.0)
(96.0, 99.0)
(97.0, 133.0)
(98.0, 101.0)
(99.0, 96.0)
(100.0, 223.0)
(101.0, 98.0)
(102.0, 175.0)
(103.0, 107.0)
(104.0, 179.0)
(105.0, 238.0)
(106.0, 110.0)
(107.0, 103.0)
(108.0, 247.0)
(109.0, 112.0)
(110.0, 106.0)
(112.0, 109.0)
(114.0, 254.0)
(115.0, 117.0)
(117.0, 115.0)
(118.0, 82.0)
(119.0, 387.0)
(120.0, 395.0)
(121.0, 124.0)
(122.0, 393.0)
(123.0, 149.0)
(124.0, 121.0)
(125.0, 391.0)
(126.0, 129.0)
(127.0, 160.0)
(128.0, 1.0)
(129.0, 126.0)
(130.0, 162.0)
(131.0, 136.0)
(132.0, 357.0)
(133.0, 97.0)
(134.0, 420.0)
(135.0, 139.0)
(136.0, 131.0)
(137.0, 176.0)
(138.0, 155.0)
(139.0, 135.0)
(140.0, 167.0)
(141.0, 145.0)
(142.0, 182.0)
(143.0, 178.0)
(144.0, 148.0)
(145.0, 141.0)
(146.0, 171.0)
(147.0, 173.0)
(148.0, 144.0)
(149.0, 123.0)
(150.0, 153.0)
(151.0, 159.0)
(152.0, 158.0)
(153.0, 150.0)
(154.0, 165.0)
(155.0, 138.0)
(156.0, 261.0)
(157.0, 168.0)
(158.0, 152.0)
(159.0, 151.0)
(160.0, 127.0)
(161.0, 164.0)
(162.0, 130.0)
(163.0, 260.0)
(164.0, 161.0)
(165.0, 154.0)
(166.0, 170.0)
(167.0, 140.0)
(168.0, 157.0)
(169.0, 181.0)
(170.0, 166.0)
(171.0, 146.0)
(172.0, 183.0)
(173.0, 147.0)
(175.0, 102.0)
(176.0, 137.0)
(177.0, 180.0)
(178.0, 143.0)
(179.0, 104.0)
(180.0, 177.0)
(181.0, 169.0)
(182.0, 142.0)
(183.0, 172.0)
(184.0, 2.0)
(185.0, 334.0)
(186.0, 190.0)
(187.0, 305.0)
(188.0, 215.0)
(189.0, 211.0)
(190.0, 186.0)
(191.0, 230.0)
(192.0, 266.0)
(193.0, 51.0)
(194.0, 198.0)
(195.0, 268.0)
(196.0, 246.0)
(197.0, 378.0)
(198.0, 194.0)
(199.0, 256.0)
(200.0, 203.0)
(202.0, 374.0)
(203.0, 200.0)
(204.0, 258.0)
(206.0, 257.0)
(207.0, 207.0)
(208.0, 212.0)
(209.0, 49.0)
(210.0, 227.0)
(211.0, 189.0)
(212.0, 208.0)
(213.0, 229.0)
(214.0, 218.0)
(215.0, 188.0)
(216.0, 233.0)
(217.0, 220.0)
(218.0, 214.0)
(219.0, 226.0)
(220.0, 217.0)
(221.0, 224.0)
(222.0, 244.0)
(223.0, 100.0)
(224.0, 221.0)
(225.0, 242.0)
(226.0, 219.0)
(227.0, 210.0)
(228.0, 232.0)
(229.0, 213.0)
(230.0, 191.0)
(231.0, 251.0)
(232.0, 228.0)
(233.0, 216.0)
(234.0, 348.0)
(235.0, 250.0)
(236.0, 243.0)
(237.0, 240.0)
(238.0, 105.0)
(239.0, 350.0)
(240.0, 237.0)
(241.0, 345.0)
(242.0, 225.0)
(243.0, 236.0)
(244.0, 222.0)
(245.0, 347.0)
(246.0, 196.0)
(247.0, 108.0)
(248.0, 253.0)
(249.0, 252.0)
(250.0, 235.0)
(251.0, 231.0)
(252.0, 249.0)
(253.0, 248.0)
(254.0, 114.0)
(255.0, 375.0)
(256.0, 199.0)
(257.0, 206.0)
(258.0, 204.0)
(260.0, 163.0)
(261.0, 156.0)
(262.0, 263.0)
(263.0, 262.0)
(264.0, 267.0)
(265.0, 54.0)
(266.0, 192.0)
(267.0, 264.0)
(268.0, 195.0)
(269.0, 271.0)
(270.0, 400.0)
(271.0, 269.0)
(272.0, 273.0)
(273.0, 272.0)
(274.0, 291.0)
(275.0, 328.0)
(276.0, 321.0)
(277.0, 327.0)
(278.0, 368.0)
(279.0, 61.0)
(280.0, 60.0)
(281.0, 306.0)
(282.0, 365.0)
(284.0, 48.0)
(286.0, 52.0)
(287.0, 65.0)
(289.0, 53.0)
(290.0, 293.0)
(291.0, 274.0)
(292.0, 296.0)
(293.0, 290.0)
(294.0, 316.0)
(295.0, 299.0)
(296.0, 292.0)
(297.0, 318.0)
(298.0, 302.0)
(299.0, 295.0)
(300.0, 68.0)
(301.0, 313.0)
(302.0, 298.0)
(303.0, 332.0)
(305.0, 187.0)
(306.0, 281.0)
(307.0, 309.0)
(308.0, 415.0)
(309.0, 307.0)
(313.0, 301.0)
(315.0, 317.0)
(316.0, 294.0)
(317.0, 315.0)
(318.0, 297.0)
(319.0, 329.0)
(321.0, 276.0)
(322.0, 77.0)
(324.0, 331.0)
(325.0, 326.0)
(326.0, 325.0)
(327.0, 277.0)
(328.0, 275.0)
(329.0, 319.0)
(331.0, 324.0)
(332.0, 303.0)
(333.0, 406.0)
(334.0, 185.0)
(335.0, 337.0)
