u,v,key,osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,lanes,width
26336293,26336319,0,131002686,tertiary,,False,False,119.15299999999999,"LINESTRING (153.0438363 -27.4598514, 153.0446679 -27.4604875, 153.0446845 -27.4605002, 153.0447563 -27.460545)",James Street,60,,
26336315,303071806,0,8028134,residential,,False,True,64.581,"LINESTRING (153.0423006 -27.4613941, 153.0418655 -27.461828)",Terrace Street,,,
26336315,26336316,0,8028136,residential,,False,False,119.116,"LINESTRING (153.0423006 -27.4613941, 153.043207 -27.4621017)",Clay Street,,,
26336315,26336293,0,8028134,residential,,False,False,228.879,"LINESTRING (153.0423006 -27.4613941, 153.0437855 -27.4599024, 153.0438363 -27.4598514)",Terrace Street,,,
26336316,26336315,0,8028136,residential,,False,True,119.116,"LINESTRING (153.043207 -27.4621017, 153.0423006 -27.4613941)",Clay Street,,,
26336316,26336319,0,8028135,residential,,False,False,230.94599999999997,"LINESTRING (153.043207 -27.4621017, 153.0440114 -27.4612964, 153.0447053 -27.4606028, 153.0447355 -27.4605686, 153.0447563 -27.460545)",Heal Street,,,
26336316,26336318,0,8028135,residential,,False,True,232.86,"LINESTRING (153.043207 -27.4621017, 153.0418802 -27.4634481, 153.0417138 -27.4636207, 153.0416962 -27.463639, 153.0416548 -27.4636792)",Heal Street,,,
26336316,26336317,0,8028136,residential,,False,False,133.079,"LINESTRING (153.043207 -27.4621017, 153.0432653 -27.4621472, 153.04422 -27.4628919)",Clay Street,,,
26336317,26336320,0,11346449,tertiary,,False,True,230.107,"LINESTRING (153.04422 -27.4628919, 153.0457587 -27.4613368)",Annie Street,,,
26336317,26336316,0,8028136,residential,,False,True,133.079,"LINESTRING (153.04422 -27.4628919, 153.0432653 -27.4621472, 153.043207 -27.4621017)",Clay Street,,,
26336317,100927821,0,11346449,tertiary,,False,False,232.60799999999998,"LINESTRING (153.04422 -27.4628919, 153.0428614 -27.4642626, 153.0427457 -27.4643918, 153.0427273 -27.464413, 153.0426759 -27.4644722)",Annie Street,,,
26336318,26336368,0,9559269,secondary,,False,True,55.742,"LINESTRING (153.0416548 -27.4636792, 153.0412304 -27.4633483)",Brunswick Street,50,4,
26336318,26336316,0,8028135,residential,,False,False,232.86,"LINESTRING (153.0416548 -27.4636792, 153.0416962 -27.463639, 153.0417138 -27.4636207, 153.0418802 -27.4634481, 153.043207 -27.4621017)",Heal Street,,,
26336318,100927821,0,9559269,secondary,,False,False,133.884,"LINESTRING (153.0416548 -27.4636792, 153.0418894 -27.4638606, 153.0420992 -27.4640237, 153.0423532 -27.4642211, 153.0425742 -27.464393, 153.0425948 -27.464409, 153.0426759 -27.4644722)",Brunswick Street,50,4,
26336319,1470286603,0,131002686,tertiary,,False,False,110.171,"LINESTRING (153.0447563 -27.460545, 153.0455887 -27.4612054)",James Street,60,,
26336319,26336347,0,8028135,residential,,False,False,113.57300000000001,"LINESTRING (153.0447563 -27.460545, 153.0447833 -27.4605132, 153.0447926 -27.4605039, 153.0448109 -27.4604856, 153.045517 -27.4597786)",Heal Street,,,
26336319,26336316,0,8028135,residential,,False,True,230.94600000000003,"LINESTRING (153.0447563 -27.460545, 153.0447355 -27.4605686, 153.0447053 -27.4606028, 153.0440114 -27.4612964, 153.043207 -27.4621017)",Heal Street,,,
26336319,26336293,0,131002686,tertiary,,False,True,119.15299999999999,"LINESTRING (153.0447563 -27.460545, 153.0446845 -27.4605002, 153.0446679 -27.4604875, 153.0438363 -27.4598514)",James Street,60,,
26336320,26336317,0,11346449,tertiary,,False,False,230.107,"LINESTRING (153.0457587 -27.4613368, 153.04422 -27.4628919)",Annie Street,,,
26336320,1470286603,0,131002686,tertiary,,False,True,22.245,"LINESTRING (153.0457587 -27.4613368, 153.0455887 -27.4612054)",James Street,60,,
26336320,26336338,0,19325206,residential,,False,False,100.688,"LINESTRING (153.0457587 -27.4613368, 153.0458221 -27.4612727, 153.0464322 -27.4606565)",Annie Street,,,
26336320,200798028,0,28977079,tertiary,,False,False,117.87899999999999,"LINESTRING (153.0457587 -27.4613368, 153.0459356 -27.461471, 153.046603 -27.4619993, 153.0466535 -27.4620392)",James Street,,,
26336326,100950165,0,11348309,residential,,False,False,36.714999999999996,"LINESTRING (153.0479845 -27.4630857, 153.0479367 -27.4631248, 153.0479165 -27.4631445, 153.0477297 -27.4633261)",Villiers Street,,,
26336326,26336327,0,11348309,residential,,False,True,101.162,"LINESTRING (153.0479845 -27.4630857, 153.0480449 -27.463025, 153.0486049 -27.4624622, 153.0486631 -27.4624037)",Villiers Street,,,
26336326,100950129,0,27600522,tertiary,,False,False,160.886,"LINESTRING (153.0479845 -27.4630857, 153.0480718 -27.463154, 153.0491443 -27.4639926, 153.0492079 -27.4640423)",James Street,,,
26336326,200798029,0,27600522,tertiary,,False,True,159.62400000000002,"LINESTRING (153.0479845 -27.4630857, 153.0478998 -27.4630189, 153.0468123 -27.4621613, 153.0467752 -27.4621321)",James Street,,,
26336327,200799161,0,11348309,residential,,False,True,100.63,"LINESTRING (153.0486631 -27.4624037, 153.049337 -27.4617244)",Villiers Street,,,
26336327,170851355,0,27600520,residential,,False,False,159.956,"LINESTRING (153.0486631 -27.4624037, 153.0498772 -27.463357)",Hawthorne Street,,,
26336327,26336340,0,27600520,residential,,False,True,167.942,"LINESTRING (153.0486631 -27.4624037, 153.0473911 -27.4614001)",Hawthorne Street,,,
26336327,26336326,0,11348309,residential,,False,False,101.16199999999999,"LINESTRING (153.0486631 -27.4624037, 153.0486049 -27.4624622, 153.0480449 -27.463025, 153.0479845 -27.4630857)",Villiers Street,,,
26336328,26336348,0,8028138,residential,,False,False,131.243,"LINESTRING (153.0450094 -27.4586653, 153.0450804 -27.4587197, 153.0451831 -27.4587983, 153.0458411 -27.4593128, 153.0460019 -27.4594508)",Beeston Street,,,
26336328,26336329,0,19677443,residential,,False,False,75.816,"LINESTRING (153.0450094 -27.4586653, 153.0450272 -27.4586374, 153.0450735 -27.4585509, 153.0454914 -27.4581393)",Gibbon Street,,,
26336328,554230434,0,19677443,residential,,False,True,118.828,"LINESTRING (153.0450094 -27.4586653, 153.0449737 -27.4586918, 153.0449075 -27.4587192, 153.0442114 -27.4594574)",Gibbon Street,,,
26336329,200762420,0,19321599,residential,,False,False,32.312,"LINESTRING (153.0454914 -27.4581393, 153.045738 -27.4583305)",Little Chester Street,,,
26336329,200760369,0,"[19677443, 28977069]",residential,,False,"[False, True]",57.80799999999999,"LINESTRING (153.0454914 -27.4581393, 153.0455299 -27.4581004, 153.0455395 -27.4580757, 153.0455439 -27.4580511, 153.0455308 -27.4580225, 153.0455093 -27.4579986, 153.0455016 -27.4579925, 153.0452102 -27.4577619)","['Chester Street', 'Gibbon Street']",,,
26336329,26336328,0,19677443,residential,,False,True,75.816,"LINESTRING (153.0454914 -27.4581393, 153.0450735 -27.4585509, 153.0450272 -27.4586374, 153.0450094 -27.4586653)",Gibbon Street,,,
26336337,26336288,0,8028127,residential,,False,False,131.518,"LINESTRING (153.0380491 -27.462441, 153.0380747 -27.462415, 153.0380933 -27.4623961, 153.0388505 -27.461625, 153.0388652 -27.4616071, 153.0389172 -27.4615439)",Harcourt Street,50,,
26336337,4416254158,0,355847383,residential,,True,False,108.983,"LINESTRING (153.0380491 -27.462441, 153.0387606 -27.4629801, 153.038773 -27.4629917, 153.0388007 -27.4630247, 153.038812 -27.4630338, 153.0388222 -27.463041, 153.0388375 -27.4630485, 153.0388578 -27.4630542, 153.0388769 -27.4630581, 153.0388948 -27.4630578)",Bowen Terrace,50,1,
26336338,200798413,0,19325206,residential,,False,False,79.141,"LINESTRING (153.0464322 -27.4606565, 153.046953 -27.4601152)",Annie Street,,,
26336338,26336340,0,27600520,residential,,False,False,125.65,"LINESTRING (153.0464322 -27.4606565, 153.0473911 -27.4614001)",Hawthorne Street,,,
26336338,26336320,0,19325206,residential,,False,True,100.688,"LINESTRING (153.0464322 -27.4606565, 153.0458221 -27.4612727, 153.0457587 -27.4613368)",Annie Street,,,
26336340,200799170,0,19362636,residential,,False,False,97.684,"LINESTRING (153.0473911 -27.4614001, 153.0480418 -27.460738)",Browne Street,,,
26336340,26336327,0,27600520,residential,,False,False,167.942,"LINESTRING (153.0473911 -27.4614001, 153.0486631 -27.4624037)",Hawthorne Street,,,
26336340,26336338,0,27600520,residential,,False,True,125.65,"LINESTRING (153.0473911 -27.4614001, 153.0464322 -27.4606565)",Hawthorne Street,,,
26336340,303071985,0,27600521,residential,,False,True,93.313,"LINESTRING (153.0473911 -27.4614001, 153.0467662 -27.46203)",Browne Street,,,
26336346,6275530526,0,8028132,residential,,True,False,83.395,"LINESTRING (153.0396085 -27.4636399, 153.0396214 -27.4636186, 153.0396314 -27.4636047, 153.0396431 -27.4635913, 153.0399918 -27.4632367, 153.0400374 -27.4631779, 153.0400887 -27.4631011, 153.0401445 -27.4630653)",Bowen Street,50,1,
26336346,26336386,0,543620975,residential,,False,False,17.398,"LINESTRING (153.0396085 -27.4636399, 153.0396229 -27.4636564, 153.0396338 -27.4636668, 153.0397365 -27.463747)",Bowen Terrace,50,,
26336347,26336319,0,8028135,residential,,False,True,113.57300000000001,"LINESTRING (153.045517 -27.4597786, 153.0448109 -27.4604856, 153.0447926 -27.4605039, 153.0447833 -27.4605132, 153.0447563 -27.460545)",Heal Street,,,
26336348,26336328,0,8028138,residential,,False,True,131.243,"LINESTRING (153.0460019 -27.4594508, 153.0458411 -27.4593128, 153.0451831 -27.4587983, 153.0450804 -27.4587197, 153.0450094 -27.4586653)",Beeston Street,,,
26336348,201294786,0,19363209,residential,,True,False,34.694,"LINESTRING (153.0460019 -27.4594508, 153.0461444 -27.4594837, 153.0462388 -27.4595142, 153.0463427 -27.4595164)",Beeston Street,,,
26336349,201294786,0,28977070,residential,,False,True,4.791,"LINESTRING (153.0463305 -27.4595581, 153.0463427 -27.4595164)",Beeston Street,,,
26336349,26336348,0,27600519,residential,,True,False,36.077999999999996,"LINESTRING (153.0463305 -27.4595581, 153.0461959 -27.4595523, 153.0461196 -27.4595286, 153.0460737 -27.4595144, 153.0460019 -27.4594508)",Beeston Street,,,
26336368,26336318,0,9559269,secondary,,False,False,55.742,"LINESTRING (153.0412304 -27.4633483, 153.0416548 -27.4636792)",Brunswick Street,50,4,
26336368,26336292,0,9559269,secondary,,False,True,62.923,"LINESTRING (153.0412304 -27.4633483, 153.0407515 -27.4629746)",Brunswick Street,50,4,
26336368,26336387,0,8028133,residential,,False,True,125.165,"LINESTRING (153.0412304 -27.4633483, 153.041187 -27.4633917, 153.0411728 -27.4634059, 153.0410475 -27.4635315, 153.0409681 -27.4636086, 153.0406469 -27.4639276, 153.0404797 -27.4640958, 153.040457 -27.4641196, 153.0404447 -27.4641359, 153.0404363 -27.464152, 153.0404314 -27.4641712, 153.0404303 -27.4641912, 153.0404316 -27.4642073)",Balfour Street,50,,
