u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
26336386,26336387,Bowen Terrace,residential,False,87.26600000000002,,,,,50.0,,,,,83
26336386,26336346,Bowen Terrace,residential,False,17.398,,,,,50.0,,,,,84
26336387,26336368,Balfour Street,residential,False,125.165,,,,,50.0,,,,,85
26336387,11640495688,Bowen Terrace,residential,False,188.61300000000003,,,,,50.0,,,,,86
26336387,26336386,Bowen Terrace,residential,False,87.266,,,,,50.0,,,,,87
100927821,100927842,Brunswick Street,secondary,False,125.029,4.0,,,,50.0,,,,,88
100927821,26336318,Brunswick Street,secondary,False,133.884,4.0,,,,50.0,,,,,89
100927821,26336317,Annie Street,tertiary,False,232.608,,,,,,,,,,90
100927821,11640495688,Barker Street,residential,False,136.49599999999998,,,,,,,,,,91
100927842,100927858,Brunswick Street,secondary,False,66.369,4.0,,,,50.0,,,,,92
100927842,100927821,Brunswick Street,secondary,False,125.029,4.0,,,,50.0,,,,,93
100927842,2358200533,Browne Street,residential,False,52.31999999999999,,,,,,,,,,94
100927858,100927842,Brunswick Street,secondary,False,66.369,4.0,,,,50.0,,,,,95
100927858,100927875,Brunswick Street,secondary,False,102.961,4.0,,,,50.0,,,,,96
100927858,100928202,Langshaw Street,residential,False,136.14700000000002,,,,,50.0,,,,,97
100927875,100927887,Brunswick Street,secondary,False,23.011,,,,,40.0,,,,,98
100927875,100927858,Brunswick Street,secondary,False,102.961,4.0,,,,50.0,,,,,99
100927875,100950181,Villiers Street,residential,False,95.324,,,,,,,,,,100
100927887,100927875,Brunswick Street,secondary,False,23.011,,,,,40.0,,,,,101
100927887,100929041,Moreton Street,residential,False,67.892,,,,,50.0,,,,,102
100927887,100927898,Brunswick Street,secondary,False,137.322,,,,,40.0,,,,,103
100927898,100929065,Merthyr Road,tertiary,False,68.472,,,,,50.0,,,,,104
100927898,100950209,Merthyr Road,tertiary,False,94.634,,,,,50.0,,,,,105
100927898,100927910,Brunswick Street,secondary,False,121.232,,,,,40.0,,,,,106
100927898,100927887,Brunswick Street,secondary,False,137.322,,,,,40.0,,,,,107
100927910,100950222,Welsby Street,residential,False,256.783,,,,,50.0,,,,,108
100927910,100927922,Brunswick Street,secondary,False,114.84,,,,,40.0,,,,,109
100927910,100927898,Brunswick Street,secondary,False,121.23199999999996,,,,,40.0,,,,,110
100927922,100927938,,secondary,True,9.676,1.0,,,roundabout,50.0,,,,,111
100927922,100927910,Brunswick Street,secondary,False,114.84,,,,,40.0,,,,,112
100927938,100927954,,secondary,True,10.444,1.0,,,roundabout,50.0,,,,,113
100927938,100950225,Sydney Street,residential,False,251.274,,,,,50.0,,,,,114
100927954,100927968,Brunswick Street,secondary,False,285.392,,,,,50.0,,,,,115
100927954,100929015,,secondary,True,10.152,1.0,,,roundabout,50.0,,,,,116
100927968,100927954,Brunswick Street,secondary,False,285.39200000000005,,,,,50.0,,,,,117
100928045,26336386,Moray Street,residential,False,343.43499999999995,,,,,50.0,,,,,118
100928045,499943068,Barker Street,residential,False,54.608,,,,,,,,,,119
100928045,499943491,Moray Street,residential,False,96.588,,,,,50.0,,,,,120
100928063,100928077,Moray Street,residential,False,66.403,,,,,50.0,,,,,121
100928063,499943491,Moray Street,residential,False,74.722,,,,,50.0,,,,,122
100928063,100928335,Julius Street,residential,False,60.734,,,,,,,,,,123
100928077,100928063,Moray Street,residential,False,66.403,,,,,50.0,,,,,124
